CH,OFF,EX,,,
0,-8,91.96,,,DESIGN OF HIGH LEVEL BRIDGE on KELWARA KUMBHALGARH ROAD OVER KELWARA LAKE
0,-6,93.11,,,
0,-4,94.27,,,Design Of High Level Bridge on Kelwara Kumbhalgarh Road Over Kelwara Lake
0,-2,95.42,,,
0,0,97.59,,,
0,2,99.41,,,
0,4,99.37,,,
0,6,99.33,,,
0,8,99.31,,,
5,-8,90.5,,,
5,-6,91.61,,,
5,-4,92.71,,,
5,-2,93.81,,,
5,0,94.89,,,
5,2,96.78,,,
5,4,99.36,,,
5,6,99.38,,,
5,8,99.39,,,
10,-8,88.76,,,
10,-6,89.87,,,
10,-4,90.89,,,
10,-2,91.69,,,
10,0,92.49,,,
10,2,94.67,,,
10,4,95.9,,,
10,6,96.82,,,
10,8,97.24,,,
15,-8,87.91,,,
15,-6,87.6,,,
15,-4,88.12,,,
15,-2,88.92,,,
15,0,90.23,,,
15,2,90.54,,,
15,4,91.12,,,
15,6,91.82,,,
15,8,92.51,,,
20,-8,87.61,,,
20,-6,86.33,,,
20,-4,86.47,,,
20,-2,86.91,,,
20,0,87.27,,,
20,2,87.62,,,
20,4,88.05,,,
20,6,88.74,,,
20,8,89.44,,,
25,-8,87.3,,,
25,-6,86.02,,,
25,-4,84.91,,,
25,-2,85.35,,,
25,0,85.73,,,
25,2,86.08,,,
25,4,86.42,,,
25,6,86.77,,,
25,8,87.02,,,
30,-8,86.99,,,
30,-6,85.71,,,
30,-4,84.43,,,
30,-2,83.79,,,
30,0,84.18,,,
30,2,84.53,,,
30,4,84.85,,,
30,6,85.1,,,
30,8,85.35,,,
35,-8,86.69,,,
35,-6,85.41,,,
35,-4,84.13,,,
35,-2,82.85,,,
35,0,82.63,,,
35,2,82.93,,,
35,4,83.18,,,
35,6,83.73,,,
35,8,84.43,,,
40,-8,86.38,,,
40,-6,85.1,,,
40,-4,83.82,,,
40,-2,82.54,,,
40,0,82.57,,,
40,2,82.81,,,
40,4,83.4,,,
40,6,84.1,,,
40,8,84.8,,,
45,-8,86.07,,,
45,-6,84.79,,,
45,-4,83.69,,,
45,-2,84.24,,,
45,0,84.53,,,
45,2,84.71,,,
45,4,84.93,,,
45,6,85.2,,,
45,8,85.46,,,
50,-8,85.77,,,
50,-6,85.23,,,
50,-4,85.78,,,
50,-2,86.3,,,
50,0,86.48,,,
50,2,86.66,,,
50,4,86.84,,,
50,6,87.06,,,
50,8,87.32,,,
55,-8,86.76,,,
55,-6,87.31,,,
55,-4,87.86,,,
55,-2,88.27,,,
55,0,88.46,,,
55,2,88.65,,,
55,4,88.84,,,
55,6,89.04,,,
55,8,89.23,,,
60,-8,88.76,,,
60,-6,89.25,,,
60,-4,89.66,,,
60,-2,90.01,,,
60,0,90.36,,,
60,2,90.7,,,
60,4,90.87,,,
60,6,90.99,,,
60,8,91.17,,,
65,-8,90.81,,,
65,-6,91.25,,,
65,-4,91.59,,,
65,-2,91.97,,,
65,0,92.38,,,
65,2,92.78,,,
65,4,93.1,,,
65,6,92.93,,,
65,8,93.21,,,
70,-8,93.08,,,
70,-6,93.54,,,
70,-4,94,,,
70,-2,94.35,,,
70,0,94.68,,,
70,2,95,,,
70,4,95.22,,,
70,6,95.41,,,
70,8,95.68,,,
75,-8,95.36,,,
75,-6,95.85,,,
75,-4,96.35,,,
75,-2,96.88,,,
75,0,97.43,,,
75,2,97.98,,,
75,4,98.48,,,
75,6,98.16,,,
75,8,98.7,,,
80,-8,97.43,,,
80,-6,98.11,,,
80,-4,98.74,,,
80,-2,99.26,,,
80,0,99.84,,,
80,2,100.56,,,
80,4,101.23,,,
80,6,101.6,,,
80,8,101.66,,,
83.1844,-8,98.55,,,
83.1844,-6,99.24,,,
83.1844,-4,100,,,
83.1844,-2,100.73,,,
83.1844,0,101.08,,,
83.1844,2,101.46,,,
83.1844,4,101.48,,,
83.1844,6,101.53,,,
83.1844,8,101.6,,,
